2026-02-04 18:26:49 [SCORE] No existing scores.txt, starting fresh.
2026-02-04 18:40:03 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:40:04 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:40:05 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:40:06 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:40:06 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:40:07 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:40:08 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:40:09 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:40:10 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:40:10 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:40:11 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:40:12 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:40:13 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:40:14 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:40:14 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:40:15 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:40:16 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:40:17 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:40:18 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:40:18 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:40:19 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:40:20 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:40:21 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:40:22 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:40:22 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:40:22 [SIGNAL] SIGINT received. Saving scores...
2026-02-04 18:40:22 [SCORE] Scores saved to file.
2026-02-04 18:40:23 [SCHED] Scheduler stopped.
2026-02-04 18:40:23 [LOG] Logger stopped.
2026-02-04 18:41:07 [SCORE] Scores loaded from file.
2026-02-04 18:41:07 [GAME] New secret number generated: 45
2026-02-04 18:41:07 [GAME] New game started.
2026-02-04 18:41:11 [MAIN] Forking client processes...
2026-02-04 18:41:11 [MAIN] Forked player 0 (PID: 889)
2026-02-04 18:41:11 [MAIN] Forked player 1 (PID: 890)
2026-02-04 18:41:11 [MAIN] Forked player 2 (PID: 891)
2026-02-04 18:41:11 [MAIN] Forked player 3 (PID: 892)
2026-02-04 18:41:11 [SCHED] Round Robin scheduler started.
2026-02-04 18:41:11 [MAIN] Server running.
2026-02-04 18:41:11 [LOG] Logger started.
2026-02-04 18:41:12 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:41:13 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:41:14 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:41:14 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:41:15 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:41:16 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:41:17 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:41:18 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:41:18 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:41:19 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:41:20 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:41:21 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:41:22 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:41:22 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:41:23 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:41:24 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:41:25 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:41:26 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:41:26 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:41:27 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:41:28 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:41:29 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:41:30 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:41:30 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:41:31 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:41:32 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:41:33 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:41:34 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:41:34 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:41:38 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:41:39 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:41:40 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:41:41 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:41:41 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:41:42 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:41:43 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:41:44 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:41:45 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:41:45 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:41:46 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:41:47 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:41:48 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:41:49 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:41:49 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:41:50 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:41:51 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:41:52 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:41:53 [SCHED] Scheduler stopped.
